pickup_date,pickup_month,dispatching_base,base_name,active_vehicles,trips
2015-01-28,2015-01,B02682,Schmecken,1235,10025
2015-01-28,2015-01,B02764,Danach-NY,3692,28137
2015-01-28,2015-01,B02765,Grun,286,1913
2015-01-29,2015-01,B02512,Unter,250,1687
2015-01-29,2015-01,B02598,Hinter,1082,9499
2015-01-29,2015-01,B02617,Weiter,1474,12600
2015-01-29,2015-01,B02682,Schmecken,1316,11485
2015-01-29,2015-01,B02764,Danach-NY,3959,31637
2015-01-29,2015-01,B02765,Grun,295,2086
2015-01-30,2015-01,B02512,Unter,256,2016
2015-01-30,2015-01,B02598,Hinter,1106,11167
2015-01-30,2015-01,B02617,Weiter,1501,14793
2015-01-30,2015-01,B02682,Schmecken,1384,13852
2015-01-30,2015-01,B02764,Danach-NY,4124,39110
2015-01-30,2015-01,B02765,Grun,322,2785
2015-01-31,2015-01,B02512,Unter,225,1892
2015-01-31,2015-01,B02598,Hinter,1027,11642
2015-01-31,2015-01,B02617,Weiter,1394,15756
2015-01-31,2015-01,B02682,Schmecken,1321,15388
2015-01-31,2015-01,B02764,Danach-NY,3947,44297
2015-01-31,2015-01,B02765,Grun,309,3282
2015-02-01,2015-02,B02512,Unter,193,1377
2015-02-01,2015-02,B02598,Hinter,961,9499
2015-02-01,2015-02,B02617,Weiter,1355,13458
2015-02-01,2015-02,B02682,Schmecken,1214,12436
2015-02-01,2015-02,B02764,Danach-NY,3740,37468
2015-02-01,2015-02,B02765,Grun,289,2672
2015-02-02,2015-02,B02512,Unter,227,1904
2015-02-02,2015-02,B02598,Hinter,939,9511
2015-02-02,2015-02,B02617,Weiter,1217,12216
2015-02-02,2015-02,B02682,Schmecken,1152,11981
2015-02-02,2015-02,B02764,Danach-NY,3270,30761
2015-02-02,2015-02,B02765,Grun,275,2607
2015-02-03,2015-02,B02512,Unter,257,1915
2015-02-03,2015-02,B02598,Hinter,991,9602
2015-02-03,2015-02,B02617,Weiter,1350,12665
2015-02-03,2015-02,B02682,Schmecken,1269,11955
2015-02-03,2015-02,B02764,Danach-NY,3674,31641
2015-02-03,2015-02,B02765,Grun,299,2410
2015-02-04,2015-02,B02512,Unter,244,1639
2015-02-04,2015-02,B02598,Hinter,1072,9600
2015-02-04,2015-02,B02617,Weiter,1393,11959
2015-02-04,2015-02,B02682,Schmecken,1311,11309
