weekday_num,weekday,hour,base,base_name,trips
1,Tuesday,17,B02682,Schmecken,14547
1,Tuesday,17,B02764,Danach-NY,3053
1,Tuesday,18,B02512,Unter,2484
1,Tuesday,18,B02598,Hinter,15644
1,Tuesday,18,B02617,Weiter,16170
1,Tuesday,18,B02682,Schmecken,12861
1,Tuesday,18,B02764,Danach-NY,3027
1,Tuesday,19,B02512,Unter,2167
1,Tuesday,19,B02598,Hinter,13778
1,Tuesday,19,B02617,Weiter,14509
1,Tuesday,19,B02682,Schmecken,11590
1,Tuesday,19,B02764,Danach-NY,2745
1,Tuesday,20,B02512,Unter,2205
1,Tuesday,20,B02598,Hinter,13601
1,Tuesday,20,B02617,Weiter,14628
1,Tuesday,20,B02682,Schmecken,11630
1,Tuesday,20,B02764,Danach-NY,2597
1,Tuesday,21,B02512,Unter,1843
1,Tuesday,21,B02598,Hinter,12302
1,Tuesday,21,B02617,Weiter,13036
1,Tuesday,21,B02682,Schmecken,10472
1,Tuesday,21,B02764,Danach-NY,2260
1,Tuesday,22,B02512,Unter,1161
1,Tuesday,22,B02598,Hinter,8406
1,Tuesday,22,B02617,Weiter,9249
1,Tuesday,22,B02682,Schmecken,7277
1,Tuesday,22,B02764,Danach-NY,1619
1,Tuesday,23,B02512,Unter,542
1,Tuesday,23,B02598,Hinter,4490
1,Tuesday,23,B02617,Weiter,5013
1,Tuesday,23,B02682,Schmecken,4083
1,Tuesday,23,B02764,Danach-NY,741
2,Wednesday,0,B02512,Unter,293
2,Wednesday,0,B02598,Hinter,2245
2,Wednesday,0,B02617,Weiter,2557
2,Wednesday,0,B02682,Schmecken,2164
2,Wednesday,0,B02764,Danach-NY,385
2,Wednesday,1,B02512,Unter,153
2,Wednesday,1,B02598,Hinter,1254
2,Wednesday,1,B02617,Weiter,1490
2,Wednesday,1,B02682,Schmecken,1197
2,Wednesday,1,B02764,Danach-NY,230
2,Wednesday,2,B02512,Unter,103
2,Wednesday,2,B02598,Hinter,972
2,Wednesday,2,B02617,Weiter,1007
2,Wednesday,2,B02682,Schmecken,899
2,Wednesday,2,B02764,Danach-NY,160
2,Wednesday,3,B02512,Unter,173
2,Wednesday,3,B02598,Hinter,1558
2,Wednesday,3,B02617,Weiter,1498
2,Wednesday,3,B02682,Schmecken,1383
2,Wednesday,3,B02764,Danach-NY,243
2,Wednesday,4,B02512,Unter,246
2,Wednesday,4,B02598,Hinter,2283
2,Wednesday,4,B02617,Weiter,2388
2,Wednesday,4,B02682,Schmecken,2216
2,Wednesday,4,B02764,Danach-NY,378
2,Wednesday,5,B02512,Unter,524
2,Wednesday,5,B02598,Hinter,4062
2,Wednesday,5,B02617,Weiter,4512
2,Wednesday,5,B02682,Schmecken,4000
2,Wednesday,5,B02764,Danach-NY,696
2,Wednesday,6,B02512,Unter,1184
2,Wednesday,6,B02598,Hinter,8150
2,Wednesday,6,B02617,Weiter,8548
2,Wednesday,6,B02682,Schmecken,7759
2,Wednesday,6,B02764,Danach-NY,1302
2,Wednesday,7,B02512,Unter,1671
2,Wednesday,7,B02598,Hinter,11172
2,Wednesday,7,B02617,Weiter,11466
2,Wednesday,7,B02682,Schmecken,10544
2,Wednesday,7,B02764,Danach-NY,1642
2,Wednesday,8,B02512,Unter,1406
2,Wednesday,8,B02598,Hinter,10413
2,Wednesday,8,B02617,Weiter,10742
2,Wednesday,8,B02682,Schmecken,9670
2,Wednesday,8,B02764,Danach-NY,1595
2,Wednesday,9,B02512,Unter,1149
2,Wednesday,9,B02598,Hinter,7658
2,Wednesday,9,B02617,Weiter,8178
2,Wednesday,9,B02682,Schmecken,7345
2,Wednesday,9,B02764,Danach-NY,1305
2,Wednesday,10,B02512,Unter,1276
2,Wednesday,10,B02598,Hinter,7460
2,Wednesday,10,B02617,Weiter,7835
2,Wednesday,10,B02682,Schmecken,6805
2,Wednesday,10,B02764,Danach-NY,1320
2,Wednesday,11,B02512,Unter,1293
2,Wednesday,11,B02598,Hinter,7507
2,Wednesday,11,B02617,Weiter,7951
2,Wednesday,11,B02682,Schmecken,6875
2,Wednesday,11,B02764,Danach-NY,1337
2,Wednesday,12,B02512,Unter,1379
2,Wednesday,12,B02598,Hinter,7878
2,Wednesday,12,B02617,Weiter,7992
2,Wednesday,12,B02682,Schmecken,6905
2,Wednesday,12,B02764,Danach-NY,1379
2,Wednesday,13,B02512,Unter,1539
2,Wednesday,13,B02598,Hinter,9072
2,Wednesday,13,B02617,Weiter,9195
2,Wednesday,13,B02682,Schmecken,7764
2,Wednesday,13,B02764,Danach-NY,1613
2,Wednesday,14,B02512,Unter,1762
2,Wednesday,14,B02598,Hinter,11201
2,Wednesday,14,B02617,Weiter,11063
2,Wednesday,14,B02682,Schmecken,9307
2,Wednesday,14,B02764,Danach-NY,1815
2,Wednesday,15,B02512,Unter,2157
2,Wednesday,15,B02598,Hinter,14103
2,Wednesday,15,B02617,Weiter,13479
2,Wednesday,15,B02682,Schmecken,11569
2,Wednesday,15,B02764,Danach-NY,2080
2,Wednesday,16,B02512,Unter,2538
2,Wednesday,16,B02598,Hinter,16281
2,Wednesday,16,B02617,Weiter,15784
2,Wednesday,16,B02682,Schmecken,13623
2,Wednesday,16,B02764,Danach-NY,2458
2,Wednesday,17,B02512,Unter,2806
2,Wednesday,17,B02598,Hinter,17514
2,Wednesday,17,B02617,Weiter,17646
2,Wednesday,17,B02682,Schmecken,14972
2,Wednesday,17,B02764,Danach-NY,2699
2,Wednesday,18,B02512,Unter,2622
2,Wednesday,18,B02598,Hinter,16659
2,Wednesday,18,B02617,Weiter,16821
2,Wednesday,18,B02682,Schmecken,14006
2,Wednesday,18,B02764,Danach-NY,2624
2,Wednesday,19,B02512,Unter,2270
2,Wednesday,19,B02598,Hinter,14574
2,Wednesday,19,B02617,Weiter,15239
2,Wednesday,19,B02682,Schmecken,12507
2,Wednesday,19,B02764,Danach-NY,2427
2,Wednesday,20,B02512,Unter,2247
2,Wednesday,20,B02598,Hinter,14869
2,Wednesday,20,B02617,Weiter,15662
2,Wednesday,20,B02682,Schmecken,12659
2,Wednesday,20,B02764,Danach-NY,2335
2,Wednesday,21,B02512,Unter,2047
2,Wednesday,21,B02598,Hinter,13993
