pickup_date,pickup_month,company,trips
2016-05-24,2016-05,Uber,110924
2016-05-25,2016-05,Uber,114658
2016-05-26,2016-05,Uber,120585
2016-05-27,2016-05,Uber,127270
2016-05-28,2016-05,Uber,134052
2016-05-29,2016-05,Uber,120998
2016-05-30,2016-05,Uber,98511
2016-05-31,2016-05,Uber,100620
2016-06-01,2016-06,Uber,109423
2016-06-02,2016-06,Uber,121917
2016-06-03,2016-06,Uber,133868
2016-06-04,2016-06,Uber,149626
2016-06-05,2016-06,Uber,134095
2016-06-06,2016-06,Uber,107579
2016-06-07,2016-06,Uber,120738
2016-06-08,2016-06,Uber,138441
2016-06-09,2016-06,Uber,132029
2016-06-10,2016-06,Uber,136928
2016-06-11,2016-06,Uber,154716
2016-06-12,2016-06,Uber,136194
2016-06-13,2016-06,Uber,102692
2016-06-14,2016-06,Uber,114382
2016-06-15,2016-06,Uber,124332
2016-06-16,2016-06,Uber,136116
2016-06-17,2016-06,Uber,134362
2016-06-18,2016-06,Uber,143438
2016-06-19,2016-06,Uber,124229
2016-06-20,2016-06,Uber,102025
2016-06-21,2016-06,Uber,113638
2016-06-22,2016-06,Uber,122467
2016-06-23,2016-06,Uber,131671
2016-06-24,2016-06,Uber,139161
2016-06-25,2016-06,Uber,157421
2016-06-26,2016-06,Uber,136031
2016-06-27,2016-06,Uber,110071
2016-06-28,2016-06,Uber,113155
2016-06-29,2016-06,Uber,114014
2016-06-30,2016-06,Uber,110959
2016-07-01,2016-07,Uber,124437
2016-07-02,2016-07,Uber,110598
2016-07-03,2016-07,Uber,106388
2016-07-04,2016-07,Uber,91175
2016-07-05,2016-07,Uber,95296
2016-07-06,2016-07,Uber,99209
2016-07-07,2016-07,Uber,116969
2016-07-08,2016-07,Uber,128274
2016-07-09,2016-07,Uber,139282
2016-07-10,2016-07,Uber,121957
2016-07-11,2016-07,Uber,100317
2016-07-12,2016-07,Uber,109582
2016-07-13,2016-07,Uber,127998
2016-07-14,2016-07,Uber,134085
2016-07-15,2016-07,Uber,140988
2016-07-16,2016-07,Uber,151235
2016-07-17,2016-07,Uber,133325
2016-07-18,2016-07,Uber,112668
2016-07-19,2016-07,Uber,112756
2016-07-20,2016-07,Uber,120312
2016-07-21,2016-07,Uber,130647
2016-07-22,2016-07,Uber,146865
2016-07-23,2016-07,Uber,154527
2016-07-24,2016-07,Uber,134308
2016-07-25,2016-07,Uber,121324
2016-07-26,2016-07,Uber,116508
2016-07-27,2016-07,Uber,121731
2016-07-28,2016-07,Uber,130823
2016-07-29,2016-07,Uber,145817
2016-07-30,2016-07,Uber,158937
2016-07-31,2016-07,Uber,134016
2016-08-01,2016-08,Uber,103936
2016-08-02,2016-08,Uber,108757
2016-08-03,2016-08,Uber,113162
2016-08-04,2016-08,Uber,120347
2016-08-05,2016-08,Uber,130623
2016-08-06,2016-08,Uber,140167
2016-08-07,2016-08,Uber,124188
2016-08-08,2016-08,Uber,97635
2016-08-09,2016-08,Uber,104791
2016-08-10,2016-08,Uber,117711
2016-08-11,2016-08,Uber,131412
2016-08-12,2016-08,Uber,140717
2016-08-13,2016-08,Uber,146074
2016-08-14,2016-08,Uber,128589
2016-08-15,2016-08,Uber,101646
2016-08-16,2016-08,Uber,112345
2016-08-17,2016-08,Uber,115120
2016-08-18,2016-08,Uber,120290
2016-08-19,2016-08,Uber,126853
2016-08-20,2016-08,Uber,132436
2016-08-21,2016-08,Uber,125321
2016-08-22,2016-08,Uber,93832
2016-08-23,2016-08,Uber,98736
2016-08-24,2016-08,Uber,106097
2016-08-25,2016-08,Uber,114873
2016-08-26,2016-08,Uber,121892
2016-08-27,2016-08,Uber,134430
2016-08-28,2016-08,Uber,124107
2016-08-29,2016-08,Uber,95539
2016-08-30,2016-08,Uber,95171
2016-08-31,2016-08,Uber,106931
2016-09-01,2016-09,Uber,119288
2016-09-02,2016-09,Uber,118552
2016-09-03,2016-09,Uber,127644
2016-09-04,2016-09,Uber,125203
2016-09-05,2016-09,Uber,105048
2016-09-06,2016-09,Uber,104555
2016-09-07,2016-09,Uber,112624
2016-09-08,2016-09,Uber,127983
2016-09-09,2016-09,Uber,145658
2016-09-10,2016-09,Uber,167180
2016-09-11,2016-09,Uber,138818
2016-09-12,2016-09,Uber,100801
2016-09-13,2016-09,Uber,107183
2016-09-14,2016-09,Uber,119078
2016-09-15,2016-09,Uber,126016
2016-09-16,2016-09,Uber,141648
2016-09-17,2016-09,Uber,159970
2016-09-18,2016-09,Uber,139575
2016-09-19,2016-09,Uber,96748
2016-09-20,2016-09,Uber,99835
2016-09-21,2016-09,Uber,101770
2016-09-22,2016-09,Uber,113623
2016-09-23,2016-09,Uber,127636
2016-09-24,2016-09,Uber,151026
2016-09-25,2016-09,Uber,128325
2016-09-26,2016-09,Uber,96500
2016-09-27,2016-09,Uber,104787
2016-09-28,2016-09,Uber,117307
2016-09-29,2016-09,Uber,125097
2016-09-30,2016-09,Uber,144824
2016-10-01,2016-10,Uber,141352
2016-10-02,2016-10,Uber,122739
2016-10-03,2016-10,Uber,86701
2016-10-04,2016-10,Uber,90221
2016-10-05,2016-10,Uber,108357
2016-10-06,2016-10,Uber,121994
2016-10-07,2016-10,Uber,124303
2016-10-08,2016-10,Uber,150704
2016-10-09,2016-10,Uber,133134
2016-10-10,2016-10,Uber,88979
2016-10-11,2016-10,Uber,92775
2016-10-12,2016-10,Uber,91412
2016-10-13,2016-10,Uber,117386
2016-10-14,2016-10,Uber,129648
2016-10-15,2016-10,Uber,147829
2016-10-16,2016-10,Uber,130146
2016-10-17,2016-10,Uber,96674
2016-10-18,2016-10,Uber,102722
2016-10-19,2016-10,Uber,113511
2016-10-20,2016-10,Uber,123540
2016-10-21,2016-10,Uber,144887
2016-10-22,2016-10,Uber,163775
2016-10-23,2016-10,Uber,133596
2016-10-24,2016-10,Uber,99448
2016-10-25,2016-10,Uber,109545
2016-10-26,2016-10,Uber,121081
2016-10-27,2016-10,Uber,151013
2016-10-28,2016-10,Uber,144702
2016-10-29,2016-10,Uber,166402
2016-10-30,2016-10,Uber,152170
2016-10-31,2016-10,Uber,101614
2016-11-01,2016-11,Uber,108674
2016-11-02,2016-11,Uber,109277
2016-11-03,2016-11,Uber,125610
2016-11-04,2016-11,Uber,129487
2016-11-05,2016-11,Uber,145731
2016-11-06,2016-11,Uber,120649
2016-11-07,2016-11,Uber,101981
2016-11-08,2016-11,Uber,99693
2016-11-09,2016-11,Uber,120160
2016-11-10,2016-11,Uber,119983
2016-11-11,2016-11,Uber,130526
2016-11-12,2016-11,Uber,149619
2016-11-13,2016-11,Uber,128840
2016-11-14,2016-11,Uber,100265
2016-11-15,2016-11,Uber,122857
2016-11-16,2016-11,Uber,114774
2016-11-17,2016-11,Uber,123309
2016-11-18,2016-11,Uber,128449
2016-11-19,2016-11,Uber,152188
2016-11-20,2016-11,Uber,144365
2016-11-21,2016-11,Uber,112056
2016-11-22,2016-11,Uber,116851
2016-11-23,2016-11,Uber,114346
2016-11-24,2016-11,Uber,99431
2016-11-25,2016-11,Uber,86475
2016-11-26,2016-11,Uber,107823
2016-11-27,2016-11,Uber,106196
2016-11-28,2016-11,Uber,96050
2016-11-29,2016-11,Uber,126693
2016-11-30,2016-11,Uber,123888
2016-12-01,2016-12,Uber,121199
2016-12-02,2016-12,Uber,132771
2016-12-03,2016-12,Uber,154684
2016-12-04,2016-12,Uber,135810
2016-12-05,2016-12,Uber,109742
2016-12-06,2016-12,Uber,130796
2016-12-07,2016-12,Uber,124008
2016-12-08,2016-12,Uber,138790
2016-12-09,2016-12,Uber,153893
2016-12-10,2016-12,Uber,173993
2016-12-11,2016-12,Uber,144926
2016-12-12,2016-12,Uber,112226
2016-12-13,2016-12,Uber,115548
2016-12-14,2016-12,Uber,127275
2016-12-15,2016-12,Uber,158661
2016-12-16,2016-12,Uber,163116
2016-12-17,2016-12,Uber,164640
2016-12-18,2016-12,Uber,136342
2016-12-19,2016-12,Uber,115327
2016-12-20,2016-12,Uber,114983
2016-12-21,2016-12,Uber,113859
