pickup_date,pickup_month,company,borough,trips
2015-02-04,2015-02,Uber,Queens,4766
2015-02-04,2015-02,Uber,Staten Island,19
2015-02-04,2015-02,Uber,Unknown,16
2015-02-05,2015-02,Uber,Bronx,829
2015-02-05,2015-02,Uber,Brooklyn,9915
2015-02-05,2015-02,Uber,Manhattan,63098
2015-02-05,2015-02,Uber,Queens,5397
2015-02-05,2015-02,Uber,Staten Island,22
2015-02-05,2015-02,Uber,Unknown,19
2015-02-06,2015-02,Uber,Bronx,1016
2015-02-06,2015-02,Uber,Brooklyn,11913
2015-02-06,2015-02,Uber,Manhattan,65062
2015-02-06,2015-02,Uber,Queens,6118
2015-02-06,2015-02,Uber,Staten Island,31
2015-02-06,2015-02,Uber,Unknown,28
2015-02-07,2015-02,Uber,Bronx,1092
2015-02-07,2015-02,Uber,Brooklyn,15535
2015-02-07,2015-02,Uber,EWR,1
2015-02-07,2015-02,Uber,Manhattan,56989
2015-02-07,2015-02,Uber,Queens,5957
2015-02-07,2015-02,Uber,Staten Island,42
2015-02-07,2015-02,Uber,Unknown,30
2015-02-08,2015-02,Uber,Bronx,894
2015-02-08,2015-02,Uber,Brooklyn,12879
2015-02-08,2015-02,Uber,Manhattan,41650
2015-02-08,2015-02,Uber,Queens,6261
2015-02-08,2015-02,Uber,Staten Island,31
2015-02-08,2015-02,Uber,Unknown,17
2015-02-09,2015-02,Uber,Bronx,694
2015-02-09,2015-02,Uber,Brooklyn,8612
2015-02-09,2015-02,Uber,Manhattan,46176
2015-02-09,2015-02,Uber,Queens,5400
2015-02-09,2015-02,Uber,Staten Island,20
2015-02-09,2015-02,Uber,Unknown,15
2015-02-10,2015-02,Uber,Bronx,740
2015-02-10,2015-02,Uber,Brooklyn,8580
2015-02-10,2015-02,Uber,EWR,1
2015-02-10,2015-02,Uber,Manhattan,48908
2015-02-10,2015-02,Uber,Queens,5344
2015-02-10,2015-02,Uber,Staten Island,21
2015-02-10,2015-02,Uber,Unknown,19
2015-02-11,2015-02,Uber,Bronx,780
2015-02-11,2015-02,Uber,Brooklyn,9352
2015-02-11,2015-02,Uber,Manhattan,55334
2015-02-11,2015-02,Uber,Queens,5572
2015-02-11,2015-02,Uber,Staten Island,28
2015-02-11,2015-02,Uber,Unknown,19
2015-02-12,2015-02,Uber,Bronx,916
2015-02-12,2015-02,Uber,Brooklyn,10329
2015-02-12,2015-02,Uber,EWR,1
2015-02-12,2015-02,Uber,Manhattan,64041
2015-02-12,2015-02,Uber,Queens,6304
2015-02-12,2015-02,Uber,Staten Island,27
2015-02-12,2015-02,Uber,Unknown,25
2015-02-13,2015-02,Uber,Bronx,1241
2015-02-13,2015-02,Uber,Brooklyn,12243
2015-02-13,2015-02,Uber,Manhattan,74822
2015-02-13,2015-02,Uber,Queens,7663
2015-02-13,2015-02,Uber,Staten Island,36
