pickup_date,pickup_month,affiliated_base,trips
2015-02-04,2015-02,B01197,159
2015-02-04,2015-02,B01309,3
2015-02-04,2015-02,B01367,111
2015-02-04,2015-02,B01779,17
2015-02-04,2015-02,B01803,12
2015-02-04,2015-02,B01861,7
2015-02-04,2015-02,B01871,6
2015-02-04,2015-02,B01875,53
2015-02-04,2015-02,B01876,6
2015-02-04,2015-02,B01877,45
2015-02-04,2015-02,B01899,107
2015-02-04,2015-02,B01907,5
2015-02-04,2015-02,B01912,7
2015-02-04,2015-02,B01913,2
2015-02-04,2015-02,B01944,1
2015-02-04,2015-02,B01949,91
2015-02-04,2015-02,B01976,41
2015-02-04,2015-02,B01985,22
2015-02-04,2015-02,B01989,3
2015-02-04,2015-02,B01998,252
2015-02-04,2015-02,B02003,67
2015-02-04,2015-02,B02005,4
2015-02-04,2015-02,B02016,23
2015-02-04,2015-02,B02022,5
2015-02-04,2015-02,B02027,3
2015-02-04,2015-02,B02067,100
2015-02-04,2015-02,B02073,2
2015-02-04,2015-02,B02096,22
2015-02-04,2015-02,B02101,90
2015-02-04,2015-02,B02110,10
2015-02-04,2015-02,B02127,7
2015-02-04,2015-02,B02133,6
2015-02-04,2015-02,B02147,3
2015-02-04,2015-02,B02148,8
2015-02-04,2015-02,B02155,5
2015-02-04,2015-02,B02160,1
2015-02-04,2015-02,B02173,8
2015-02-04,2015-02,B02191,1
2015-02-04,2015-02,B02202,35
2015-02-04,2015-02,B02207,129
2015-02-04,2015-02,B02216,171
2015-02-04,2015-02,B02217,9
2015-02-04,2015-02,B02225,22
2015-02-04,2015-02,B02240,5
2015-02-04,2015-02,B02241,13
2015-02-04,2015-02,B02253,41
2015-02-04,2015-02,B02254,14
2015-02-04,2015-02,B02273,19
2015-02-04,2015-02,B02277,3
2015-02-04,2015-02,B02280,25
2015-02-04,2015-02,B02285,14
2015-02-04,2015-02,B02306,11
2015-02-04,2015-02,B02330,5
2015-02-04,2015-02,B02334,5
2015-02-04,2015-02,B02339,3
2015-02-04,2015-02,B02342,14
2015-02-04,2015-02,B02345,31
2015-02-04,2015-02,B02352,1
2015-02-04,2015-02,B02360,1
2015-02-04,2015-02,B02376,7
2015-02-04,2015-02,B02382,14
2015-02-04,2015-02,B02394,5
2015-02-04,2015-02,B02401,61
2015-02-04,2015-02,B02408,20
2015-02-04,2015-02,B02410,13
2015-02-04,2015-02,B02424,5
2015-02-04,2015-02,B02429,13
2015-02-04,2015-02,B02440,5
