pickup_date,pickup_month,borough,trips
2015-02-09,2015-02,Staten Island,20
2015-02-09,2015-02,Unknown,21
2015-02-10,2015-02,Bronx,790
2015-02-10,2015-02,Brooklyn,8937
2015-02-10,2015-02,EWR,1
2015-02-10,2015-02,Manhattan,50816
2015-02-10,2015-02,Queens,5608
2015-02-10,2015-02,Staten Island,22
2015-02-10,2015-02,Unknown,23
2015-02-11,2015-02,Bronx,839
2015-02-11,2015-02,Brooklyn,9765
2015-02-11,2015-02,Manhattan,57321
2015-02-11,2015-02,Queens,5764
2015-02-11,2015-02,Staten Island,30
2015-02-11,2015-02,Unknown,23
2015-02-12,2015-02,Bronx,971
2015-02-12,2015-02,Brooklyn,10758
2015-02-12,2015-02,EWR,1
2015-02-12,2015-02,Manhattan,66392
2015-02-12,2015-02,Queens,6565
2015-02-12,2015-02,Staten Island,28
2015-02-12,2015-02,Unknown,36
2015-02-13,2015-02,Bronx,1305
2015-02-13,2015-02,Brooklyn,12759
2015-02-13,2015-02,Manhattan,77705
2015-02-13,2015-02,Queens,8048
2015-02-13,2015-02,Staten Island,38
2015-02-13,2015-02,Unknown,42
2015-02-14,2015-02,Bronx,1333
2015-02-14,2015-02,Brooklyn,16094
2015-02-14,2015-02,Manhattan,77144
2015-02-14,2015-02,Queens,7698
2015-02-14,2015-02,Staten Island,44
2015-02-14,2015-02,Unknown,34
2015-02-15,2015-02,Bronx,1094
2015-02-15,2015-02,Brooklyn,14329
2015-02-15,2015-02,Manhattan,69091
2015-02-15,2015-02,Queens,6746
2015-02-15,2015-02,Staten Island,32
2015-02-15,2015-02,Unknown,28
2015-02-16,2015-02,Bronx,867
2015-02-16,2015-02,Brooklyn,10563
2015-02-16,2015-02,Manhattan,54076
2015-02-16,2015-02,Queens,8117
2015-02-16,2015-02,Staten Island,21
2015-02-16,2015-02,Unknown,28
2015-02-17,2015-02,Bronx,866
2015-02-17,2015-02,Brooklyn,8828
2015-02-17,2015-02,EWR,2
2015-02-17,2015-02,Manhattan,57689
2015-02-17,2015-02,Queens,6771
2015-02-17,2015-02,Staten Island,40
2015-02-17,2015-02,Unknown,25
2015-02-18,2015-02,Bronx,927
2015-02-18,2015-02,Brooklyn,9387
2015-02-18,2015-02,EWR,1
2015-02-18,2015-02,Manhattan,57298
2015-02-18,2015-02,Queens,5818
2015-02-18,2015-02,Staten Island,31
2015-02-18,2015-02,Unknown,31
2015-02-19,2015-02,Bronx,1153
2015-02-19,2015-02,Brooklyn,10829
2015-02-19,2015-02,EWR,1
2015-02-19,2015-02,Manhattan,71791
2015-02-19,2015-02,Queens,6434
2015-02-19,2015-02,Staten Island,32
2015-02-19,2015-02,Unknown,31
2015-02-20,2015-02,Bronx,1227
2015-02-20,2015-02,Brooklyn,13327
2015-02-20,2015-02,Manhattan,80861
2015-02-20,2015-02,Queens,7277
2015-02-20,2015-02,Staten Island,34
2015-02-20,2015-02,Unknown,36
2015-02-21,2015-02,Bronx,1162
2015-02-21,2015-02,Brooklyn,16247
2015-02-21,2015-02,EWR,1
2015-02-21,2015-02,Manhattan,76096
2015-02-21,2015-02,Queens,6891
2015-02-21,2015-02,Staten Island,51
2015-02-21,2015-02,Unknown,33
2015-02-22,2015-02,Bronx,965
