pickup_date,pickup_month,borough,trips,year,month,month_name,weekday,weekday_num,week_start,is_weekend,is_month_start,is_month_end,holiday_name,is_federal_holiday,nyc_event,has_nyc_event,weather_code,temperature_2m_max,temperature_2m_min,temperature_avg_f,apparent_temperature_max,apparent_temperature_min,apparent_temperature_avg_f,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,has_rain,has_snow,has_precipitation
2015-02-26,2015-02,EWR,2,2015,2,February,Thursday,3,2015-02-23,False,False,False,,False,,False,71,26.0,17.3,21.65,18.3,7.9,13.100000000000001,0.031,0.0,0.22,5.0,10.1,False,True,True
2015-02-26,2015-02,Manhattan,66299,2015,2,February,Thursday,3,2015-02-23,False,False,False,,False,,False,71,26.0,17.3,21.65,18.3,7.9,13.100000000000001,0.031,0.0,0.22,5.0,10.1,False,True,True
2015-02-26,2015-02,Queens,6578,2015,2,February,Thursday,3,2015-02-23,False,False,False,,False,,False,71,26.0,17.3,21.65,18.3,7.9,13.100000000000001,0.031,0.0,0.22,5.0,10.1,False,True,True
2015-02-26,2015-02,Staten Island,47,2015,2,February,Thursday,3,2015-02-23,False,False,False,,False,,False,71,26.0,17.3,21.65,18.3,7.9,13.100000000000001,0.031,0.0,0.22,5.0,10.1,False,True,True
2015-02-26,2015-02,Unknown,36,2015,2,February,Thursday,3,2015-02-23,False,False,False,,False,,False,71,26.0,17.3,21.65,18.3,7.9,13.100000000000001,0.031,0.0,0.22,5.0,10.1,False,True,True
2015-02-27,2015-02,Bronx,1232,2015,2,February,Friday,4,2015-02-23,False,False,False,,False,,False,3,26.7,7.7,17.2,18.1,-1.0,8.55,0.0,0.0,0.0,0.0,7.8,False,False,False
2015-02-27,2015-02,Brooklyn,12556,2015,2,February,Friday,4,2015-02-23,False,False,False,,False,,False,3,26.7,7.7,17.2,18.1,-1.0,8.55,0.0,0.0,0.0,0.0,7.8,False,False,False
2015-02-27,2015-02,EWR,1,2015,2,February,Friday,4,2015-02-23,False,False,False,,False,,False,3,26.7,7.7,17.2,18.1,-1.0,8.55,0.0,0.0,0.0,0.0,7.8,False,False,False
2015-02-27,2015-02,Manhattan,69030,2015,2,February,Friday,4,2015-02-23,False,False,False,,False,,False,3,26.7,7.7,17.2,18.1,-1.0,8.55,0.0,0.0,0.0,0.0,7.8,False,False,False
2015-02-27,2015-02,Queens,7309,2015,2,February,Friday,4,2015-02-23,False,False,False,,False,,False,3,26.7,7.7,17.2,18.1,-1.0,8.55,0.0,0.0,0.0,0.0,7.8,False,False,False
2015-02-27,2015-02,Staten Island,40,2015,2,February,Friday,4,2015-02-23,False,False,False,,False,,False,3,26.7,7.7,17.2,18.1,-1.0,8.55,0.0,0.0,0.0,0.0,7.8,False,False,False
2015-02-27,2015-02,Unknown,49,2015,2,February,Friday,4,2015-02-23,False,False,False,,False,,False,3,26.7,7.7,17.2,18.1,-1.0,8.55,0.0,0.0,0.0,0.0,7.8,False,False,False
