pickup_date,pickup_month,base,base_name,trips,vehicles
2015-06-22,2015-06,B01779,APEX CAR & LIMO SVCE INC,36,16
2015-06-22,2015-06,B01818,"TA-TA TRANSPORTATION, INC.",3,3
2015-06-22,2015-06,B01849,JOE PAL LIMOUSINE LTD,5,4
2015-06-22,2015-06,B01875,ON LINE LIMOUSINE LLC,180,46
2015-06-22,2015-06,B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,2,1
2015-06-22,2015-06,B01877,U.S.A. LIMO. INC.,303,112
2015-06-22,2015-06,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",644,85
2015-06-22,2015-06,B01912,"CAR 24 TRANSPORTATION, INC",16,0
2015-06-22,2015-06,B01923,"AVID INTERNATIONAL, INC.",43,13
2015-06-22,2015-06,B01928,DISCOVER LIMO INC,1,1
2015-06-22,2015-06,B01957,"ANIMO, INC",5,2
2015-06-22,2015-06,B01970,GRAFE STREET SERVICE CORP.,4,3
2015-06-22,2015-06,B01979,DREAMLAND CAR & LIMO.SVC INC.,1,1
2015-06-22,2015-06,B01980,"READY TO ROLL TRANSPORTATION, INC.",31,17
2015-06-22,2015-06,B01984,NY 88 EXPRESS CORP.,764,119
2015-06-22,2015-06,B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,66,14
2015-06-22,2015-06,B01998,FIRST CORPORATE SEDANS INC.,448,205
2015-06-22,2015-06,B02003,"AVALON CORPORATE CAR,INC.",170,69
2015-06-22,2015-06,B02021,EASYRIDE CAR SERVICE INC.,51,6
2015-06-22,2015-06,B02054,REGAL CARRIAGE LUX. CAR & LIMO. SVC INC.,17,8
2015-06-22,2015-06,B02073,"STARGATE LIMOUSINE, INC.",7,6
2015-06-22,2015-06,B02096,"CET GROUP, INC",4,3
2015-06-22,2015-06,B02099,SUNNY'S LIMOUSINE SERVICE INC,184,66
2015-06-22,2015-06,B02106,"PERFECT LIMO SERVICE, INC.",5,0
2015-06-22,2015-06,B02110,"OPTIMUM CAR & LIMO, INC.",69,6
2015-06-22,2015-06,B02133,"TWR CAR & LIMO, INC.",93,31
2015-06-22,2015-06,B02138,"GUADALUPANA CAR LIMO, INC",283,21
2015-06-22,2015-06,B02147,"MITA LIMOUSINE, INC.",21,9
2015-06-22,2015-06,B02152,"KYOEI LIMOUSINE, INC.",15,0
2015-06-22,2015-06,B02155,ABA LUXURY CAR INC.,7,5
2015-06-22,2015-06,B02157,REAGAN CONVEYANCE  CORP.,153,92
2015-06-22,2015-06,B02160,"12TH STREET LUXURY CARS, INC.",20,16
2015-06-22,2015-06,B02167,MADISON LIMOUSINE INC,2,0
2015-06-22,2015-06,B02175,MURRAY'S LIMOUSINE SERVICE INC.,6,6
2015-06-22,2015-06,B02180,PEGASUS TRANSPORT SERVICE INC.,37,19
2015-06-22,2015-06,B02182,"FINEST CAR SERVICE, LLC",5,3
2015-06-22,2015-06,B02191,US LIMO SYSTEM INC,36,16
2015-06-22,2015-06,B02196,"N & T DOUBLE DIAMOND LIMOUSINES, INC.",1,1
2015-06-22,2015-06,B02217,PCS LIMOUSINE INC.,33,11
2015-06-22,2015-06,B02240,NEW APPLE TRANS. INC.,20,12
2015-06-22,2015-06,B02241,"MARU & KITANO, INC.",48,0
2015-06-22,2015-06,B02252,ASIANA LIMOUSINE INC.,3,2
2015-06-22,2015-06,B02265,"COUNTY CAR SERVICE, INC.",28,3
2015-06-22,2015-06,B02285,"VALERA GLOBAL, INC.",215,85
2015-06-22,2015-06,B02287,"ROAD NEW YORK ENTERPRISES, INC.",6,3
2015-06-22,2015-06,B02301,DOUBLE A CAR SERVICE INC.,425,27
2015-06-22,2015-06,B02306,ACCUELIMO LUXURY LLC,115,23
2015-06-22,2015-06,B02308,NORWOOD CAR & LIMO INC.,65,16
2015-06-22,2015-06,B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",25,0
2015-06-22,2015-06,B02389,"EMBARQUE N.Y., INC.",59,17
2015-06-22,2015-06,B02397,CHICO EXPRESS CORP. 2,194,15
2015-06-22,2015-06,B02416,"NEW STORM CAR SERVICE, INC.",40,5
2015-06-22,2015-06,B02440,MLL LIMOUSINE SERVICES INC.,74,0
2015-06-22,2015-06,B02447,"NEW HAMPTON CAR & LIMO, INC.",1,1
2015-06-22,2015-06,B02462,TIFFANY'S CAR SERVICE INC.,69,14
2015-06-22,2015-06,B02468,GROUNDLINK HOLDINGS LLC,131,36
2015-06-22,2015-06,B02470,CRI LIMO INC.,25,9
2015-06-22,2015-06,B02491,CALL THREES LLC,28,5
2015-06-22,2015-06,B02517,LOS PAISANOS LUXURY C/S INC.,10,6
2015-06-22,2015-06,B02532,COZY RIDE LIMOUSINE INC,29,0
2015-06-22,2015-06,B02542,BAILEY LUXURY & LIMOUSINE CORP.,2,1
2015-06-22,2015-06,B02555,LTM GLOBAL CAR SERVICE,18,0
2015-06-22,2015-06,B02564,LAGUARDIA LUXURY CAR & LIMO,3,2
2015-06-22,2015-06,B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",86,48
2015-06-22,2015-06,B02590,LUXOR LIMO INC,72,0
2015-06-22,2015-06,B02611,SS LIMOUSINE SERVICE INC,27,9
2015-06-22,2015-06,B02631,"CONFIDENTIAL HOLDINGS, LLC",7,5
2015-06-22,2015-06,B02633,USHLS CORP,9,5
2015-06-22,2015-06,B02637,ROOSEVELT CAR & LIMO INC.,10,9
2015-06-22,2015-06,B02653,NEW COLLEGE CAR SVCE INC,812,99
2015-06-22,2015-06,B02661,MIC-LOU CAR SERVICES_LLC,40,0
2015-06-22,2015-06,B02666,"D.L.C. LIMOUSINE SERVICE, INC.",8,7
2015-06-22,2015-06,B02674,ELAL CAR LIMO SERVICE LLC,65,7
2015-06-22,2015-06,B02675,FRIELECH CAR & LIMO SERVICE INC,50,7
2015-06-22,2015-06,B02681,DIRECT CAR & LIMO SERVICE INC.,22,6
2015-06-22,2015-06,B02689,OCS LIMO CORP.,12,2
2015-06-22,2015-06,B02694,CITY LIMOUSINE TRANSPORTATION INC.,7,6
2015-06-22,2015-06,B02715,GROUNDANYWHERE LLC,434,131
2015-06-22,2015-06,B02716,"GEMINI GLOBAL TRANSPORTATION,LLC.",187,1
2015-06-22,2015-06,B02723,CHARLIE BLACK CAR INC,56,0
2015-06-22,2015-06,B02751,RELIANCE GROUP INC,5,3
2015-06-22,2015-06,B02754,TIGER CAR SERVICE INC.,6,1
2015-06-22,2015-06,B02808,INVASORA EXPRESS CAR SERVICE CORP.,12,4
2015-06-22,2015-06,B02821,E5 TRANSPORTATION SOLUTIONS INC.,70,6
2015-06-23,2015-06,B00008,T-D MAINTENANCE CORP,225,17
2015-06-23,2015-06,B00009,T-D MAINTENANCE,496,18
2015-06-23,2015-06,B00013,LOVE CORP CAR INC,460,114
2015-06-23,2015-06,B00014,NY ONE CORP CAR INC,631,156
2015-06-23,2015-06,B00030,TREMONT DISPATCHING CORP,130,13
2015-06-23,2015-06,B00037,TRANSP UNLIMITED C/S,489,50
2015-06-23,2015-06,B00083,PAGE-A-RIDE INC,5,2
2015-06-23,2015-06,B00095,LIBERTY CAR SERVICE INC.,559,67
2015-06-23,2015-06,B00170,EMUNAH CAR SERVICE INC,48,9
2015-06-23,2015-06,B00202,"EXCELSIOR CAR & LIMO, INC.",57,16
2015-06-23,2015-06,B00208,ERNEST SCHWARZ INC,7,3
2015-06-23,2015-06,B00210,QUEENS DISPATCH SVC INC.,54,19
2015-06-23,2015-06,B00221,PROFESSIONAL CAR SERVICE INC,531,84
2015-06-23,2015-06,B00227,"PARK WEST EXEC. SERVICES, INC.",510,170
2015-06-23,2015-06,B00235,"ARISTACAR & LIMOUSINE, LTD.",42,17
2015-06-23,2015-06,B00236,LAST RADIO GROUP CORP.,47,16
2015-06-23,2015-06,B00248,YELLOWSTONE TRANSPORTATION INC.,1003,117
2015-06-23,2015-06,B00254,XYZ TWO WAY RADIO,1219,270
2015-06-23,2015-06,B00277,ALL CITY CORP TRANS INC,148,37
2015-06-23,2015-06,B00281,"VEE CEE LIMOUSINE SERVICE, INC",102,9
2015-06-23,2015-06,B00296,PRIME TIME TRANS. INC,93,38
2015-06-23,2015-06,B00345,MARTIN'S BELLE HARBOR CAR SERVICE,11,3
2015-06-23,2015-06,B00381,BELL RADIO INC,432,109
2015-06-23,2015-06,B00411,FONE-A-CAR INC,220,55
2015-06-23,2015-06,B00412,NYC 2 WAY INTERNATIONAL LTD,399,89
2015-06-23,2015-06,B00475,RIDGE TRANSPORTATION CORP.,122,10
2015-06-23,2015-06,B00477,INTA-BORO ACRES INC,668,157
2015-06-23,2015-06,B00552,HINO-MARU ENTERPRISES INC.,45,29
2015-06-23,2015-06,B00608,SUMMIT CORP CAR INC,177,38
2015-06-23,2015-06,B00619,LINCOLN LIMO SVCE INC,1,1
2015-06-23,2015-06,B00623,MANHATTAN INT'L LIMO NETWORK LLC,18,6
2015-06-23,2015-06,B00706,"VIC & BAY CAR SERVICE, INC",400,20
2015-06-23,2015-06,B00789,VITAL TRANSPORTATION INC.,783,207
2015-06-23,2015-06,B00837,CAREY LIMO N Y INC,552,190
2015-06-23,2015-06,B00881,CROSSBAY CAR SERVICE INC.,27,19
