pickup_date,pickup_month,hvfhs_license_num,company,borough,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches,cbd_congestion_fees
2019-02-12,2019-02,HV0003,Uber,Bronx,55253,211968.07,52589798,550907.42,8295.53,620049.49,0.0,3876.75,25019,18527,0.0
2019-02-12,2019-02,HV0003,Uber,Brooklyn,108489,402923.9,113775851,1311866.01,28578.57,1303174.22,0.0,25336.0,45426,35270,0.0
2019-02-12,2019-02,HV0003,Uber,Manhattan,210032,838737.51,221888731,3452514.21,112688.96,3251455.1100000003,0.0,435729.0,43303,35426,0.0
2019-02-12,2019-02,HV0003,Uber,Queens,68946,394505.38,75848503,1147290.96,33565.9,1118900.1,0.0,19236.5,26956,17104,0.0
2019-02-12,2019-02,HV0003,Uber,Staten Island,4498,21829.34,4190310,60148.63,2131.74,61890.32,0.0,181.25,2025,1084,0.0
2019-02-12,2019-02,HV0003,Uber,Unknown,35,243.4,43336,604.84,12.0,681.49,0.0,9.0,17,8,0.0
2019-02-13,2019-02,HV0003,Uber,Bronx,58427,230319.71,61820612,631880.84,8607.960000000001,712084.61,0.0,4502.5,25969,18866,0.0
2019-02-13,2019-02,HV0003,Uber,Brooklyn,105879,424001.16,120288217,1410788.9,28600.13,1400583.79,0.0,26592.25,43232,32869,0.0
2019-02-13,2019-02,HV0003,Uber,Manhattan,202146,984825.37,252900043,3900668.06,119212.64,3736562.91,0.0,407001.5,42530,34553,0.0
2019-02-13,2019-02,HV0003,Uber,Queens,72141,466535.78,93602051,1406871.96,41940.41,1382738.03,0.0,24428.75,26148,15771,0.0
2019-02-13,2019-02,HV0003,Uber,Staten Island,4863,24960.58,4823969,67883.95,2560.72,71319.15,0.0,281.5,2172,1211,0.0
2019-02-13,2019-02,HV0003,Uber,Unknown,33,169.71,31074,559.94,31.29,589.27,0.0,12.5,11,4,0.0
2019-02-14,2019-02,HV0003,Uber,Bronx,63355,253749.67,68243416,718426.8300000001,8863.96,791166.94,0.0,5645.5,26101,19053,0.0
2019-02-14,2019-02,HV0003,Uber,Brooklyn,113078,459907.18,133683422,1577182.23,30136.56,1542387.86,0.0,29118.5,42633,32431,0.0
2019-02-14,2019-02,HV0003,Uber,Manhattan,205915,970550.75,266688541,3996007.67,113644.44,3810147.96,0.0,412433.0,43829,36007,0.0
2019-02-14,2019-02,HV0003,Uber,Queens,78342,498652.5,104262431,1544066.06,43705.03,1504631.74,0.0,26777.0,27072,16768,0.0
2019-02-14,2019-02,HV0003,Uber,Staten Island,5514,28882.57,5534335,81388.68000000001,2946.5,81996.29000000001,0.0,350.75,2399,1301,0.0
2019-02-14,2019-02,HV0003,Uber,Unknown,34,201.52,43372,679.1,16.0,671.3299999999999,0.0,17.25,9,4,0.0
2019-02-15,2019-02,HV0003,Uber,Bronx,68515,282524.51,75607876,789985.12,10023.64,880115.57,0.0,6148.0,27386,20358,0.0
2019-02-15,2019-02,HV0003,Uber,Brooklyn,120665,504750.38,142539479,1697943.32,34009.01,1663420.14,0.0,31307.25,44397,34348,0.0
2019-02-15,2019-02,HV0003,Uber,EWR,1,0.62,95,17.54,0.0,12.12,0.0,0.0,0,0,0.0
2019-02-15,2019-02,HV0003,Uber,Manhattan,205390,992637.15,267297058,3869569.24,113115.19,3738276.32,0.0,404025.5,45499,37287,0.0
2019-02-15,2019-02,HV0003,Uber,Queens,82520,526136.89,109430004,1609690.81,47251.81,1574003.07,0.0,27832.75,27972,17259,0.0
2019-02-15,2019-02,HV0003,Uber,Staten Island,6092,32579.06,6001990,91533.25,3506.47,91076.42,0.0,388.5,2485,1364,0.0
2019-02-15,2019-02,HV0003,Uber,Unknown,30,108.73,30933,420.03,16.0,407.15,0.0,14.0,12,7,0.0
2019-02-16,2019-02,HV0003,Uber,Bronx,69778,299010.53,66425975,759622.5,9976.75,838529.08,0.0,6869.5,26163,19136,0.0
2019-02-16,2019-02,HV0003,Uber,Brooklyn,139257,601952.42,151484199,1902214.06,42119.13,1857708.82,0.0,46055.0,47847,37647,0.0
2019-02-16,2019-02,HV0003,Uber,Manhattan,225499,990467.92,251779271,3702398.01,110202.17,3553593.55,0.0,453122.0,47524,38173,0.0
2019-02-16,2019-02,HV0003,Uber,Queens,87479,525769.1900000001,98611927,1453603.42,38653.62,1439400.33,0.0,27137.25,30890,20275,0.0
2019-02-16,2019-02,HV0003,Uber,Staten Island,6272,36013.82,6034900,95329.89,3457.31,95669.33,0.0,519.5,2430,1435,0.0
2019-02-16,2019-02,HV0003,Uber,Unknown,22,148.22,26477,445.82,20.0,449.2,0.0,8.25,8,5,0.0
2019-02-17,2019-02,HV0003,Uber,Bronx,62937,270765.7,55513933,681554.0800000001,8523.25,735474.54,0.0,5599.25,22607,16243,0.0
2019-02-17,2019-02,HV0003,Uber,Brooklyn,124909,534335.37,127988218,1681066.43,35894.79,1623431.64,0.0,38696.25,41477,31543,0.0
2019-02-17,2019-02,HV0003,Uber,Manhattan,200109,915315.69,210835814,3276122.65,99342.69,3129938.95,0.0,397894.0,42084,33703,0.0
2019-02-17,2019-02,HV0003,Uber,Queens,79446,513057.37,87634833,1407828.95,36604.97,1360978.14,0.0,25598.25,26520,16776,0.0
2019-02-17,2019-02,HV0003,Uber,Staten Island,4893,27919.77,4447012,74371.81,2880.87,73969.55,0.0,379.0,1893,854,0.0
2019-02-17,2019-02,HV0003,Uber,Unknown,28,192.78,34516,583.09,6.0,545.98,0.0,16.5,9,6,0.0
2019-02-18,2019-02,HV0003,Uber,Bronx,47249,197679.87,40618500,519065.88,6124.81,535145.3,0.0,4110.75,19589,12858,0.0
2019-02-18,2019-02,HV0003,Uber,Brooklyn,96676,408717.57,97119925,1325421.54,27268.57,1214322.7,0.0,28444.75,36813,27039,0.0
2019-02-18,2019-02,HV0003,Uber,Manhattan,157888,745022.04,157587590,2595402.3,81481.95999999999,2424578.5,0.0,305818.75,38973,30555,0.0
2019-02-18,2019-02,HV0003,Uber,Queens,71692,530731.66,84716955,1551925.94,42098.72,1423376.51,0.0,33740.0,22241,13214,0.0
2019-02-18,2019-02,HV0003,Uber,Staten Island,3774,21041.92,3432012,60083.73,1808.59,56335.32,0.0,260.25,1527,605,0.0
2019-02-18,2019-02,HV0003,Uber,Unknown,22,132.09,20206,472.12,20.43,411.93,0.0,8.25,10,3,0.0
2019-02-19,2019-02,HV0003,Uber,Bronx,52945,208812.68,49980221,568790.52,7175.89,610421.71,0.0,4096.75,21924,14971,0.0
2019-02-19,2019-02,HV0003,Uber,Brooklyn,92582,377361.27,98835835,1264818.46,25938.95,1202293.5,0.0,24058.75,35317,25640,0.0
2019-02-19,2019-02,HV0003,Uber,EWR,8,10.96,6706,124.33,2.0,113.88,0.0,0.0,3,3,0.0
2019-02-19,2019-02,HV0003,Uber,Manhattan,172046,811783.0499999999,203561005,3121280.9800000004,98778.41,2979029.58,0.0,341276.75,38376,29925,0.0
2019-02-19,2019-02,HV0003,Uber,Queens,68814,471234.23,85255529,1440967.21,42877.5,1355291.71,0.0,28788.25,22024,12516,0.0
2019-02-19,2019-02,HV0003,Uber,Staten Island,4293,23442.8,4045586,66841.58,2443.8,65091.65,0.0,301.25,1740,947,0.0
2019-02-19,2019-02,HV0003,Uber,Unknown,26,105.91,25068,398.32,13.0,398.49,0.0,8.25,9,3,0.0
2019-02-20,2019-02,HV0003,Uber,Bronx,54940,212380.95,49382810,582251.49,7831.79,614745.1,0.0,4154.75,22325,14967,0.0
2019-02-20,2019-02,HV0003,Uber,Brooklyn,103173,394292.72,106542906,1346935.91,28287.3,1277679.21,0.0,24175.75,37366,27137,0.0
2019-02-20,2019-02,HV0003,Uber,EWR,3,22.78,3910,115.71,5.0,104.63,0.0,0.0,0,0,0.0
2019-02-20,2019-02,HV0003,Uber,Manhattan,199983,852776.1,219270126,3403193.64,110092.34,3202155.68,0.0,407493.0,42341,33889,0.0
2019-02-20,2019-02,HV0003,Uber,Queens,68054,412885.51,75634483,1252213.98,38350.8,1178730.04,0.0,20898.0,22746,13025,0.0
2019-02-20,2019-02,HV0003,Uber,Staten Island,4483,22868.19,4235746,65623.42,2208.23,64697.8,0.0,246.0,1790,934,0.0
2019-02-20,2019-02,HV0003,Uber,Unknown,31,113.03,24169,532.34,18.0,468.6,0.0,8.25,8,0,0.0
2019-02-21,2019-02,HV0003,Uber,Bronx,61499,244030.37,59487002,636145.23,9220.73,730891.28,0.0,5282.25,21732,15021,0.0
2019-02-21,2019-02,HV0003,Uber,Brooklyn,107422,435391.86,116908242,1420940.29,30789.01,1417411.9,0.0,28311.5,35581,26322,0.0
2019-02-21,2019-02,HV0003,Uber,EWR,1,0.95,283,11.54,0.0,12.12,0.0,0.0,0,0,0.0
2019-02-21,2019-02,HV0003,Uber,Manhattan,203130,986657.76,251295639,3751684.93,119564.31,3673582.19,0.0,404870.25,42127,33809,0.0
2019-02-21,2019-02,HV0003,Uber,Queens,76876,511238.86,96388725,1535786.53,48903.47,1500731.46,0.0,27991.0,22330,12815,0.0
2019-02-21,2019-02,HV0003,Uber,Staten Island,5247,27462.24,4969429,75327.07,2756.91,76967.13,0.0,340.75,1883,1050,0.0
2019-02-21,2019-02,HV0003,Uber,Unknown,34,208.95,40336,784.62,32.27,789.73,0.0,2.75,14,11,0.0
