pickup_date,pickup_month,dispatching_base,trips
2015-03-19,2015-03,B02617,11891
2015-03-19,2015-03,B02682,14890
2015-03-19,2015-03,B02764,31437
2015-03-19,2015-03,B02765,7240
2015-03-20,2015-03,B02512,2031
2015-03-20,2015-03,B02598,10488
2015-03-20,2015-03,B02617,14277
2015-03-20,2015-03,B02682,18879
2015-03-20,2015-03,B02764,40040
2015-03-20,2015-03,B02765,9558
2015-03-21,2015-03,B02512,1487
2015-03-21,2015-03,B02598,8419
2015-03-21,2015-03,B02617,11733
2015-03-21,2015-03,B02682,16346
2015-03-21,2015-03,B02764,34352
2015-03-21,2015-03,B02765,8408
2015-03-22,2015-03,B02512,1338
2015-03-22,2015-03,B02598,7315
2015-03-22,2015-03,B02617,9843
2015-03-22,2015-03,B02682,13599
2015-03-22,2015-03,B02764,30318
2015-03-22,2015-03,B02765,6924
2015-03-23,2015-03,B02512,1492
2015-03-23,2015-03,B02598,6609
2015-03-23,2015-03,B02617,9545
2015-03-23,2015-03,B02682,11770
2015-03-23,2015-03,B02764,25033
2015-03-23,2015-03,B02765,6049
2015-03-24,2015-03,B02512,1499
2015-03-24,2015-03,B02598,7291
2015-03-24,2015-03,B02617,9795
2015-03-24,2015-03,B02682,12463
2015-03-24,2015-03,B02764,27155
2015-03-24,2015-03,B02765,6197
2015-03-25,2015-03,B02512,1675
2015-03-25,2015-03,B02598,8518
2015-03-25,2015-03,B02617,11152
2015-03-25,2015-03,B02682,14818
2015-03-25,2015-03,B02764,30528
2015-03-25,2015-03,B02765,7262
2015-03-26,2015-03,B02512,1726
2015-03-26,2015-03,B02598,9224
2015-03-26,2015-03,B02617,11961
2015-03-26,2015-03,B02682,15634
2015-03-26,2015-03,B02764,32309
2015-03-26,2015-03,B02765,7698
2015-03-27,2015-03,B02512,1731
2015-03-27,2015-03,B02598,9088
2015-03-27,2015-03,B02617,12111
2015-03-27,2015-03,B02682,17673
2015-03-27,2015-03,B02764,35834
2015-03-27,2015-03,B02765,8540
2015-03-28,2015-03,B02512,1647
2015-03-28,2015-03,B02598,9308
2015-03-28,2015-03,B02617,12998
2015-03-28,2015-03,B02682,19512
2015-03-28,2015-03,B02764,39464
2015-03-28,2015-03,B02765,9598
2015-03-29,2015-03,B02512,1535
2015-03-29,2015-03,B02598,7787
2015-03-29,2015-03,B02617,10699
2015-03-29,2015-03,B02682,15528
2015-03-29,2015-03,B02764,32403
2015-03-29,2015-03,B02765,7696
2015-03-30,2015-03,B02512,1437
2015-03-30,2015-03,B02598,6672
2015-03-30,2015-03,B02617,9232
2015-03-30,2015-03,B02682,13040
2015-03-30,2015-03,B02764,26030
2015-03-30,2015-03,B02765,6369
2015-03-31,2015-03,B02512,1743
2015-03-31,2015-03,B02598,8817
2015-03-31,2015-03,B02617,11766
2015-03-31,2015-03,B02682,16257
2015-03-31,2015-03,B02764,32611
2015-03-31,2015-03,B02765,7699
2015-04-01,2015-04,B02512,461
2015-04-01,2015-04,B02598,7942
2015-04-01,2015-04,B02617,10573
2015-04-01,2015-04,B02682,14991
2015-04-01,2015-04,B02764,28273
2015-04-01,2015-04,B02765,6983
2015-04-02,2015-04,B02512,481
2015-04-02,2015-04,B02598,8610
2015-04-02,2015-04,B02617,11247
2015-04-02,2015-04,B02682,16065
2015-04-02,2015-04,B02764,30064
2015-04-02,2015-04,B02765,7602
2015-04-03,2015-04,B02512,391
2015-04-03,2015-04,B02598,7742
2015-04-03,2015-04,B02617,10820
2015-04-03,2015-04,B02682,16942
2015-04-03,2015-04,B02764,32076
2015-04-03,2015-04,B02765,8012
2015-04-04,2015-04,B02512,381
2015-04-04,2015-04,B02598,6960
2015-04-04,2015-04,B02617,9647
2015-04-04,2015-04,B02682,15752
2015-04-04,2015-04,B02764,29081
2015-04-04,2015-04,B02765,7368
2015-04-05,2015-04,B02512,379
2015-04-05,2015-04,B02598,5893
2015-04-05,2015-04,B02617,8188
2015-04-05,2015-04,B02682,13022
2015-04-05,2015-04,B02764,24542
2015-04-05,2015-04,B02765,6333
2015-04-06,2015-04,B02512,392
2015-04-06,2015-04,B02598,5564
2015-04-06,2015-04,B02617,7454
2015-04-06,2015-04,B02682,12277
2015-04-06,2015-04,B02764,22038
2015-04-06,2015-04,B02765,5840
2015-04-07,2015-04,B02512,519
2015-04-07,2015-04,B02598,7144
2015-04-07,2015-04,B02617,10001
2015-04-07,2015-04,B02682,15027
2015-04-07,2015-04,B02764,28295
2015-04-07,2015-04,B02765,7093
2015-04-08,2015-04,B02512,472
2015-04-08,2015-04,B02598,8030
2015-04-08,2015-04,B02617,10447
2015-04-08,2015-04,B02682,16125
2015-04-08,2015-04,B02764,29273
2015-04-08,2015-04,B02765,7676
2015-04-09,2015-04,B02512,507
2015-04-09,2015-04,B02598,8374
2015-04-09,2015-04,B02617,11561
2015-04-09,2015-04,B02682,17725
2015-04-09,2015-04,B02764,31522
