pickup_date,pickup_month,hour,company,trips
2015-05-21,2015-05,4,Uber,989
2015-05-21,2015-05,5,Uber,1423
2015-05-21,2015-05,6,Uber,2183
2015-05-21,2015-05,7,Uber,3371
2015-05-21,2015-05,8,Uber,4409
2015-05-21,2015-05,9,Uber,4329
2015-05-21,2015-05,10,Uber,3441
2015-05-21,2015-05,11,Uber,3327
2015-05-21,2015-05,12,Uber,3327
2015-05-21,2015-05,13,Uber,3608
2015-05-21,2015-05,14,Uber,3826
2015-05-21,2015-05,15,Uber,4470
2015-05-21,2015-05,16,Uber,4959
2015-05-21,2015-05,17,Uber,5633
2015-05-21,2015-05,18,Uber,6627
2015-05-21,2015-05,19,Uber,6683
2015-05-21,2015-05,20,Uber,6520
2015-05-21,2015-05,21,Uber,6839
2015-05-21,2015-05,22,Uber,6654
2015-05-21,2015-05,23,Uber,5754
2015-05-22,2015-05,0,Uber,3903
2015-05-22,2015-05,1,Uber,2252
2015-05-22,2015-05,2,Uber,1457
2015-05-22,2015-05,3,Uber,1056
2015-05-22,2015-05,4,Uber,1310
2015-05-22,2015-05,5,Uber,1638
2015-05-22,2015-05,6,Uber,2153
2015-05-22,2015-05,7,Uber,3042
2015-05-22,2015-05,8,Uber,3943
2015-05-22,2015-05,9,Uber,4110
2015-05-22,2015-05,10,Uber,3387
2015-05-22,2015-05,11,Uber,3247
2015-05-22,2015-05,12,Uber,3200
2015-05-22,2015-05,13,Uber,3406
2015-05-22,2015-05,14,Uber,3718
2015-05-22,2015-05,15,Uber,4365
2015-05-22,2015-05,16,Uber,4778
2015-05-22,2015-05,17,Uber,4941
2015-05-22,2015-05,18,Uber,4829
2015-05-22,2015-05,19,Uber,4927
2015-05-22,2015-05,20,Uber,4764
2015-05-22,2015-05,21,Uber,4757
2015-05-22,2015-05,22,Uber,5075
2015-05-22,2015-05,23,Uber,5505
2015-05-23,2015-05,0,Uber,4503
2015-05-23,2015-05,1,Uber,3312
2015-05-23,2015-05,2,Uber,2439
2015-05-23,2015-05,3,Uber,1754
2015-05-23,2015-05,4,Uber,1522
2015-05-23,2015-05,5,Uber,1278
2015-05-23,2015-05,6,Uber,1262
2015-05-23,2015-05,7,Uber,1379
2015-05-23,2015-05,8,Uber,1804
2015-05-23,2015-05,9,Uber,2400
2015-05-23,2015-05,10,Uber,2779
