pickup_date,pickup_month,hvfhs_license_num,company,borough,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,cbd_congestion_fees,shared_requests,shared_matches
2025-05-07,2025-05,HV0003,Uber,Bronx,62939,270820.05,65948761,1261349.0,23093.87,1091237.01,1712.5,8693.5,3273.0,3272,1672
2025-05-07,2025-05,HV0003,Uber,Brooklyn,111629,456446.74,131015457,2539319.7600000002,86011.65,2050526.24,10820.0,31050.0,16204.5,5460,3032
2025-05-07,2025-05,HV0003,Uber,Manhattan,178444,951123.25,241073134,6510783.25,340377.02,4309862.66,35790.0,399095.25,211027.5,4188,2485
2025-05-07,2025-05,HV0003,Uber,Queens,99926,670363.83,137725818,3275519.75,160148.11000000002,2510137.16,64432.5,37668.25,18754.5,4823,2147
2025-05-07,2025-05,HV0003,Uber,Staten Island,8132,41576.270000000004,8082298,175936.06,6611.92,147720.0,396.25,534.25,258.0,630,130
2025-05-07,2025-05,HV0003,Uber,Unknown,20,100.64,18158,459.58,2.0,349.26,2.5,5.5,3.0,0,0
2025-05-08,2025-05,HV0003,Uber,Bronx,66397,280810.37,71668256,1328433.96,22249.64,1161859.45,2120.0,8792.0,3228.0,3331,1728
2025-05-08,2025-05,HV0003,Uber,Brooklyn,121328,496690.16,147868378,2823418.8200000003,95157.55,2292265.82,12492.5,32680.25,17314.5,6056,3540
2025-05-08,2025-05,HV0003,Uber,EWR,1,0.0,248,36.0,0.0,70.27,0.0,0.0,0.0,0,0
2025-05-08,2025-05,HV0003,Uber,Manhattan,188218,1049464.23,278374876,7434662.47,381697.12,4982598.78,43535.0,415898.5,221908.5,4547,2843
2025-05-08,2025-05,HV0003,Uber,Queens,102908,657913.62,143246664,3250216.92,151987.99,2537112.4699999997,58860.0,33876.5,16777.5,5119,2439
2025-05-08,2025-05,HV0003,Uber,Staten Island,8646,44440.26,9034385,190855.9,7206.14,162317.05,428.75,516.75,244.5,638,159
2025-05-08,2025-05,HV0003,Uber,Unknown,18,77.82,13964,364.78,13.0,289.19,2.5,0.0,3.0,1,0
2025-05-09,2025-05,HV0003,Uber,Bronx,78327,329681.43,83959874,1591276.99,24141.86,1390313.41,2516.25,9510.0,3663.0,4199,2280
2025-05-09,2025-05,HV0003,Uber,Brooklyn,149516,586349.46,176759908,3399725.01,104452.47,2776186.32,13285.0,37629.75,19936.5,7733,4876
2025-05-09,2025-05,HV0003,Uber,Manhattan,206213,1004632.29,278809146,7104658.38,323255.16,4928109.83,40765.0,461043.0,237966.0,5754,3703
2025-05-09,2025-05,HV0003,Uber,Queens,122552,765426.77,171198936,3737310.1,159025.82,2994861.8,64781.25,36623.75,18124.5,6341,3225
2025-05-09,2025-05,HV0003,Uber,Staten Island,9583,49341.45,9626239,212315.72,8040.56,179012.78,412.5,601.75,306.0,746,182
2025-05-09,2025-05,HV0003,Uber,Unknown,17,126.17,24669,528.8,16.76,452.69,0.0,2.75,1.5,0,0
2025-05-10,2025-05,HV0003,Uber,Bronx,74042,338602.56,76592953,1455562.12,25387.55,1298334.8,1771.25,9872.0,3880.5,3912,2175
2025-05-10,2025-05,HV0003,Uber,Brooklyn,155427,674598.34,182564124,3550239.78,132158.82,2935005.52,9155.0,50422.75,26146.5,8278,5620
2025-05-10,2025-05,HV0003,Uber,Manhattan,192904,981014.01,245070958,6057526.24,288418.43,4333824.44,23816.25,424117.75,225837.0,6347,4529
2025-05-10,2025-05,HV0003,Uber,Queens,119223,729356.12,149271084,3154510.9,132547.06,2661649.76,45013.75,33812.0,16978.5,6715,3669
2025-05-10,2025-05,HV0003,Uber,Staten Island,9037,50327.72,9189189,199745.09,8245.05,173638.8,281.25,719.75,358.5,764,233
2025-05-10,2025-05,HV0003,Uber,Unknown,23,169.72,26222,596.0999999999999,15.0,546.6800000000001,2.5,0.0,3.0,2,1
2025-05-11,2025-05,HV0003,Uber,Bronx,71375,331939.12,72301671,1442194.5899999999,21706.33,1305804.74,1517.5,9259.0,3489.0,3961,2243
2025-05-11,2025-05,HV0003,Uber,Brooklyn,141288,649534.21,162740887,3351361.8,110587.65000000001,2771017.25,12846.25,39936.25,21255.0,7865,5308
2025-05-11,2025-05,HV0003,Uber,Manhattan,159157,921106.84,198122835,5334746.39,246936.66,3862522.51,35308.75,332897.75,179089.5,5878,4176
2025-05-11,2025-05,HV0003,Uber,Queens,116191,791679.8200000001,157778026,3545777.05,148539.29,2942603.06,61831.25,39913.75,20340.0,6233,3552
2025-05-11,2025-05,HV0003,Uber,Staten Island,7397,45448.09,7846281,176974.1,6555.46,158774.88,375.0,676.5,333.0,602,157
2025-05-11,2025-05,HV0003,Uber,Unknown,25,118.42999999999999,18991,504.05,36.39,433.62,5.0,0.0,1.5,1,0
2025-05-12,2025-05,HV0003,Uber,Bronx,59313,256971.16,60892144,1188474.79,20937.54,1019619.4,1948.75,7802.25,2904.0,2954,1410
2025-05-12,2025-05,HV0003,Uber,Brooklyn,101925,434955.78,117316918,2387940.07,87382.89,1891520.25,13470.0,25549.25,13420.5,5044,2782
2025-05-12,2025-05,HV0003,Uber,Manhattan,150413,807068.89,192886634,5311870.0600000005,309994.0,3527777.31,32462.5,331958.0,172722.0,3664,2162
